Pays,Lat,Long,Date,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
Allemagne,50.74599, 9.766473,2020-04-28,159038,6161,117400,3.87,73.82,22.31
Allemagne,50.74599, 9.766473,2020-04-27,158758,6126,114500,3.86,72.12,24.02
Allemagne,50.74599, 9.766473,2020-04-26,157770,5976,112000,3.79,70.99,25.22
Allemagne,50.74599, 9.766473,2020-04-25,156513,5877,109800,3.75,70.15,26.09
Allemagne,50.74599, 9.766473,2020-04-24,154999,5760,109800,3.72,70.84,25.44
Allemagne,50.74599, 9.766473,2020-04-23,153129,5575,103300,3.64,67.46,28.90
Allemagne,50.74599, 9.766473,2020-04-22,150648,5279,99400,3.50,65.98,30.51
Allemagne,50.74599, 9.766473,2020-04-21,148291,5033,95200,3.39,64.20,32.41
Allemagne,50.74599, 9.766473,2020-04-20,147065,4862,91500,3.31,62.22,34.48
Allemagne,50.74599, 9.766473,2020-04-19,145184,4586,88000,3.16,60.61,36.23
Allemagne,50.74599, 9.766473,2020-04-18,143342,4459,85400,3.11,59.58,37.31
Allemagne,50.74599, 9.766473,2020-04-17,141397,4352,83114,3.08,58.78,38.14
Allemagne,50.74599, 9.766473,2020-04-16,137698,4052,77000,2.94,55.92,41.14
Allemagne,50.74599, 9.766473,2020-04-15,134753,3804,72600,2.82,53.88,43.30
Allemagne,50.74599, 9.766473,2020-04-14,131359,3294,68200,2.51,51.92,45.57
Allemagne,50.74599, 9.766473,2020-04-13,130072,3194,64300,2.46,49.43,48.11
Allemagne,50.74599, 9.766473,2020-04-12,127854,3022,60300,2.36,47.16,50.47
Allemagne,50.74599, 9.766473,2020-04-11,124908,2736,57400,2.19,45.95,51.86
Allemagne,50.74599, 9.766473,2020-04-10,122171,2767,53913,2.26,44.13,53.61
Allemagne,50.74599, 9.766473,2020-04-09,118181,2607,52407,2.21,44.34,53.45
Allemagne,50.74599, 9.766473,2020-04-08,113296,2349,46300,2.07,40.87,57.06
Allemagne,50.74599, 9.766473,2020-04-07,107663,2016,36081,1.87,33.51,64.61
Allemagne,50.74599, 9.766473,2020-04-06,103374,1810,28700,1.75,27.76,70.49
Allemagne,50.74599, 9.766473,2020-04-05,100123,1584,28700,1.58,28.66,69.75
Allemagne,50.74599, 9.766473,2020-04-04,96092,1444,26400,1.50,27.47,71.02
Allemagne,50.74599, 9.766473,2020-04-03,91159,1275,24575,1.40,26.96,71.64
Allemagne,50.74599, 9.766473,2020-04-02,84794,1107,22440,1.31,26.46,72.23
Allemagne,50.74599, 9.766473,2020-04-01,77872,920,18700,1.18,24.01,74.80
Allemagne,50.74599, 9.766473,2020-03-31,71808,775,16100,1.08,22.42,76.50
Allemagne,50.74599, 9.766473,2020-03-30,66885,645,13500,0.96,20.18,78.85
Allemagne,50.74599, 9.766473,2020-03-29,62095,533,9211,0.86,14.83,84.31
Allemagne,50.74599, 9.766473,2020-03-28,57695,433,8481,0.75,14.70,84.55
Allemagne,50.74599, 9.766473,2020-03-27,50871,342,6658,0.67,13.09,86.24
Allemagne,50.74599, 9.766473,2020-03-26,43938,267,5673,0.61,12.91,86.48
Allemagne,50.74599, 9.766473,2020-03-25,37323,206,3547,0.55,9.50,89.94
Allemagne,50.74599, 9.766473,2020-03-24,32986,157,3243,0.48,9.83,89.69
Allemagne,50.74599, 9.766473,2020-03-23,29056,123,453,0.42,1.56,98.02
